"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Inventory delta Ai dpm/cm^2","Inventory Uncertainty u(delta Ai) dpm/cm^2","Inventory Below A(i) dpm/cm^2","Inventory Below Uncertainty u(A(i)) dpm/cm^2","Age t(i) yr","Age Uncertainty u(t(i)) yr","Year CE","Mass Accumulation Rate r(i) g/(cm^2 yr)","Mass Accumulation Rate Uncertainty u(r(i)) g/(cm^2 yr)","Dry Bulk Density Section ri g/cm^3","Dry Bulk Density Section Uncertainty u(ri) g/cm^3","Dry Bulk Density Layer r(i) g/cm^3","Dry Bulk Density Layer Uncertainty u(r(i)) g/cm^3","Sediment Accumulation Rate s(i) cm/yr","Sediment Accumulation Rate Uncertainty U(s(i)) cm/yr"
,30.5,0.438862625334921,0.0555033768397851,,,,,,,,0.3316759674,0.0051139579708859,,,,
31,,,,1.75472330777206,0.289054583411095,107.289531112277,5.13588337897214,1914.30475392405,0.0482139403324418,0.0093832495096007,,,0.3165144426,0.00356415498654332,0.152327773533459,0.029695147943297
,31.5,0.285214645403473,0.0502718651479643,,,,,,,,0.3013529178,0.00496590746434315,,,,
32,,,,1.46950866236858,0.284649419050007,112.97840362891,6.06505890665064,1908.61588140741,0.0509559322525579,0.0119076584550818,,,0.30287016935,0.00358056038165424,0.168243483212349,0.0393663282818971
,32.5,0.259332643319449,0.0507479357880284,,,,,,,,0.3043874209,0.00515959432923451,,,,
33,,,,1.21017601904914,0.280089162194399,119.205403690241,7.27534054673367,1902.38888134608,0.0508746362070956,0.0142695617036005,,,0.29866329105,0.00367243007797233,0.170341108973377,0.0478239800278108
,33.5,0.184971969280571,0.0487718631096128,,,,,,,,0.2929391612,0.00522738529937429,,,,
34,,,,1.02520404976857,0.275810159616316,124.525172042219,8.48104887989462,1897.0691129941,0.0546037936914549,0.0183278470987358,,,0.29824687245,0.00370628803136665,0.183082535762748,0.0614940362484833
,34.5,0.163743793015787,0.0505049371582687,,,,,,,,0.3035545837,0.00525554248557579,,,,
35,,,,0.861460256752778,0.271146630940193,,,,,,,,,,,
